HAV,N_treatment
HAV_5843,no_N
HAV_5844,no_N
HAV_5845,no_N
HAV_5846,no_N
HAV_5847,no_N
HAV_5848,no_N
HAV_5849,no_N
HAV_5850,no_N
HAV_5851,no_N
HAV_5852,no_N
HAV_5853,no_N
HAV_5854,no_N
HAV_5855,no_N
HAV_5856,no_N
HAV_5857,no_N
HAV_5858,no_N
HAV_5859,no_N
HAV_5860,no_N
HAV_5861,no_N
HAV_5862,no_N
HAV_5863,no_N
HAV_5864,no_N
HAV_5865,no_N
HAV_5866,no_N
HAV_5867,no_N
HAV_5868,no_N
HAV_5869,no_N
HAV_5870,no_N
HAV_5871,no_N
HAV_5872,no_N
HAV_5873,no_N
HAV_5874,no_N
HAV_5875,no_N
HAV_5876,no_N
HAV_5877,no_N
HAV_5878,no_N
HAV_5879,no_N
HAV_5880,no_N
HAV_5881,no_N
HAV_5882,no_N
HAV_5883,no_N
HAV_5884,no_N
HAV_5885,no_N
HAV_5886,no_N
HAV_5887,no_N
HAV_5888,no_N
HAV_5889,no_N
HAV_5890,no_N
HAV_5891,no_N
HAV_5892,no_N
HAV_5893,no_N
HAV_5894,no_N
HAV_5895,no_N
HAV_5896,no_N
HAV_5897,no_N
HAV_5898,no_N
HAV_5899,no_N
HAV_5900,no_N
HAV_5901,no_N
HAV_5902,no_N
HAV_5903,no_N
HAV_5904,no_N
HAV_5905,no_N
HAV_5906,no_N
HAV_5907,no_N
HAV_5908,no_N
HAV_5909,no_N
HAV_5910,no_N
HAV_5911,no_N
HAV_5912,no_N
HAV_5913,no_N
HAV_5914,no_N
HAV_5915,no_N
HAV_5916,no_N
HAV_5917,no_N
HAV_5918,no_N
HAV_5919,no_N
HAV_5920,no_N
HAV_5921,no_N
HAV_5922,no_N
HAV_5923,no_N
HAV_5924,no_N
HAV_5925,no_N
HAV_5926,no_N
HAV_5927,no_N
HAV_5928,no_N
HAV_5929,no_N
HAV_5930,no_N
HAV_5931,no_N
HAV_5932,no_N
HAV_5933,no_N
HAV_5934,no_N
HAV_5935,no_N
HAV_5936,no_N
HAV_5937,no_N
HAV_5938,no_N
HAV_5939,no_N
HAV_5940,no_N
HAV_5941,no_N
HAV_5942,no_N
HAV_5943,no_N
HAV_5944,no_N
HAV_5945,no_N
HAV_5946,no_N
HAV_5947,no_N
HAV_5948,no_N
HAV_5949,no_N
HAV_5950,no_N
HAV_5951,no_N
HAV_5952,no_N
HAV_5953,no_N
HAV_5954,no_N
HAV_5955,no_N
HAV_5956,no_N
HAV_5957,no_N
HAV_5958,no_N
HAV_5959,no_N
HAV_5960,no_N
HAV_5961,no_N
HAV_5962,no_N
HAV_5963,no_N
HAV_5964,no_N
HAV_5965,no_N
HAV_5966,no_N
HAV_5967,no_N
HAV_5968,no_N
HAV_5969,no_N
HAV_5970,no_N
HAV_5971,no_N
HAV_5972,no_N
HAV_5973,no_N
HAV_5974,no_N
HAV_5975,no_N
HAV_5976,no_N
HAV_5977,no_N
HAV_5978,no_N
HAV_5979,no_N
HAV_5980,no_N
HAV_5981,no_N
HAV_5982,no_N
HAV_5983,no_N
HAV_5984,no_N
HAV_5985,no_N
HAV_5986,no_N
HAV_5987,no_N
HAV_5988,no_N
HAV_5989,no_N
HAV_5990,no_N
HAV_5991,no_N
HAV_5992,no_N
HAV_5993,no_N
HAV_5994,no_N
HAV_5995,no_N
HAV_5996,no_N
HAV_5997,no_N
HAV_5998,no_N
HAV_5999,no_N
HAV_6000,no_N
HAV_6001,no_N
HAV_6002,no_N
HAV_6003,no_N
HAV_6004,no_N
HAV_6005,no_N
HAV_6006,no_N
HAV_6007,no_N
HAV_6008,no_N
HAV_6009,no_N
HAV_6010,no_N
HAV_6011,no_N
HAV_6012,no_N
HAV_6013,no_N
HAV_6014,no_N
HAV_6015,no_N
HAV_6016,no_N
HAV_6017,no_N
HAV_6018,no_N
HAV_6019,no_N
HAV_6020,no_N
HAV_6021,no_N
HAV_6022,no_N
HAV_6023,no_N
HAV_6024,no_N
HAV_6025,no_N
HAV_6026,no_N
HAV_6027,no_N
HAV_6028,no_N
HAV_6029,no_N
HAV_6030,no_N
HAV_6031,no_N
HAV_6032,no_N
HAV_6033,no_N
HAV_6034,no_N
HAV_6035,no_N
HAV_6036,no_N
HAV_6037,no_N
HAV_6038,no_N
HAV_6039,no_N
HAV_6040,no_N
HAV_6041,no_N
HAV_6042,no_N
HAV_6043,no_N
HAV_6044,no_N
HAV_6045,no_N
HAV_6046,no_N
HAV_6047,no_N
HAV_6048,no_N
HAV_6049,no_N
HAV_6050,no_N
HAV_6051,no_N
HAV_6052,no_N
HAV_6053,no_N
HAV_6054,no_N
HAV_6055,no_N
HAV_6056,no_N
HAV_6057,no_N
HAV_6058,no_N
HAV_6059,no_N
HAV_6060,no_N
HAV_6061,no_N
HAV_6062,no_N
HAV_6063,no_N
HAV_6064,no_N
HAV_6065,no_N
HAV_6066,no_N
HAV_6067,no_N
HAV_6068,no_N
HAV_6069,no_N
HAV_6070,no_N
HAV_6071,no_N
HAV_6072,no_N
HAV_6073,no_N
HAV_6074,no_N
HAV_6075,no_N
HAV_6076,no_N
HAV_6077,no_N
HAV_6078,no_N
HAV_6079,no_N
HAV_6080,no_N
HAV_6081,no_N
HAV_6082,no_N
HAV_6083,no_N
HAV_6084,no_N
HAV_6085,no_N
HAV_6086,no_N
HAV_6087,no_N
HAV_6088,no_N
HAV_6089,no_N
HAV_6090,no_N
